#;meas;ticks;xH;yH;zH;xL;yL;zL;magni;temp;vibr;
#;anal;ticks;fsm_sensorpack;xMean;yMean;zMean;vibrMean;tempMean;
>;tris;625628;10063.426885;0.073378;2.171700;9.031103;0.001121;0.011069;578
>;tris;628130;10064.779603;0.073366;2.174382;8.766609;0.000977;0.009430;579
>;tris;630633;10064.118579;0.073772;2.172660;6.725601;0.000992;0.008544;578
>;tris;633135;10063.423823;0.073778;2.174331;8.332965;0.001206;0.007732;578
>;tris;635638;10061.540770;0.073379;2.175385;7.151104;0.000978;0.008952;578
>;tris;638140;10062.954233;0.073393;2.174154;7.764682;0.000957;0.013334;578
>;tris;640643;10070.271307;0.073547;2.172565;10.211228;0.001218;0.012303;578
>;tris;643145;10072.758653;0.073894;2.172637;7.565145;0.001441;0.007407;578
>;tris;645648;10065.987774;0.073501;2.171715;7.445103;0.001371;0.007471;578
>;tris;648150;10067.504290;0.073446;2.171878;7.939014;0.000778;0.008451;578
>;tris;650653;10068.248679;0.073583;2.171338;7.722881;0.000921;0.009553;578
>;tris;653155;10065.987593;0.073424;2.173634;6.624409;0.001141;0.010863;578
>;tris;655658;10069.955940;0.073097;2.180671;7.859633;0.001020;0.010430;578
>;tris;658160;10068.528246;0.073473;2.180445;8.919893;0.000921;0.010578;578
>;tris;660663;10067.309766;0.073480;2.173716;6.485989;0.000882;0.009671;578
>;tris;663165;10068.858386;0.073460;2.174129;5.972240;0.000819;0.011022;578
>;tris;665668;10068.150654;0.073481;2.177926;7.134622;0.000543;0.012505;578
>;tris;668170;10066.318615;0.073631;2.172710;8.117313;0.000834;0.014445;577
>;tris;670673;10064.445803;0.074506;2.171573;9.393751;0.000924;0.013154;577
>;tris;673175;10066.753155;0.074828;2.182997;12.156161;0.000794;0.016419;577
>;tris;675678;10072.717114;0.074195;2.183171;12.448701;0.001034;0.015473;577
>;tris;678180;10071.125153;0.073810;2.178066;10.311656;0.000915;0.010095;577
>;tris;680683;10066.446305;0.074205;2.178565;8.129410;0.000873;0.011395;577
>;tris;683185;10065.412995;0.074352;2.181213;7.240967;0.000914;0.009998;577
>;tris;685688;10065.208272;0.073864;2.180727;11.764098;0.000865;0.009027;578
>;tris;688190;10067.789976;0.073964;2.181604;12.102257;0.000834;0.008286;577
>;tris;690693;10063.836797;0.074227;2.183549;9.489698;0.001029;0.011081;577
>;tris;693195;10064.766676;0.074129;2.186975;9.955688;0.001120;0.013746;577
>;tris;695698;10071.755342;0.073547;2.189314;7.238771;0.001221;0.013779;577
>;tris;698200;10068.877875;0.073561;2.179154;9.136189;0.001290;0.014244;577
>;tris;700703;10066.228684;0.073667;2.175139;7.938858;0.001195;0.010796;577
>;tris;703205;10067.953777;0.073213;2.172242;5.381518;0.000798;0.012401;577
>;tris;705708;10067.844995;0.073716;2.169949;6.248332;0.000752;0.011848;577
>;tris;708210;10064.534803;0.073551;2.176616;6.892120;0.000824;0.010982;577
>;tris;710713;10066.000092;0.073146;2.177634;6.272368;0.000866;0.009748;577
>;tris;713215;10064.309522;0.073782;2.169706;8.612616;0.001244;0.010802;577
>;tris;715718;10064.933858;0.074780;2.169169;8.992477;0.001004;0.008964;577
>;tris;718220;10069.577154;0.074904;2.170289;5.960280;0.000662;0.008009;577
>;tris;720723;10066.776877;0.074141;2.168746;8.238558;0.000592;0.007503;577
>;tris;723225;10065.420192;0.073961;2.169159;6.774780;0.000700;0.007989;576
>;tris;725728;10064.591863;0.073898;2.164586;6.380474;0.000821;0.009306;576
>;tris;728230;10066.338488;0.074167;2.165417;7.122333;0.000996;0.008716;576
>;tris;730733;10064.010327;0.073947;2.169121;8.988547;0.001193;0.008195;577
>;tris;733235;10061.234456;0.073778;2.168144;8.243787;0.000939;0.008621;577
>;tris;735738;10065.234226;0.074114;2.164956;7.212083;0.000823;0.007292;576
>;tris;738240;10066.796120;0.074030;2.165772;10.397546;0.000809;0.009743;576
>;tris;740743;10065.154313;0.074250;2.165232;11.180949;0.000630;0.012197;576
>;tris;743245;10063.250855;0.074224;2.163087;9.499091;0.000803;0.009386;576
>;tris;745748;10065.354102;0.074219;2.168036;9.033951;0.000929;0.006352;576
>;tris;748250;10067.253244;0.074345;2.168929;6.691201;0.000891;0.006991;576
>;tris;750753;10066.723808;0.073768;2.165552;7.477448;0.001102;0.008611;576
>;tris;753255;10065.825275;0.074093;2.171372;9.377379;0.001307;0.012123;576
>;tris;755758;10065.318434;0.074383;2.181205;7.836197;0.001133;0.009720;576
>;tris;758260;10066.228614;0.073940;2.182895;6.464781;0.000951;0.007357;576
>;tris;760763;10063.835942;0.074601;2.182934;7.434290;0.000935;0.009461;576
>;tris;763265;10063.853145;0.074891;2.178824;8.126013;0.000908;0.010828;576
>;tris;765768;10064.129742;0.074780;2.180284;7.256866;0.000826;0.009442;576
>;tris;768273;10062.600505;0.074238;2.183796;6.024575;0.000979;0.009746;576
>;tris;770775;10064.121559;0.073534;2.181608;6.836660;0.000943;0.009436;576
>;tris;773278;10069.260190;0.073917;2.182506;9.546992;0.000983;0.008625;576
>;tris;775780;10070.447370;0.074186;2.172160;9.678857;0.001259;0.014574;576
>;tris;778283;10068.226858;0.073736;2.170651;7.102566;0.001286;0.014346;576
>;tris;780785;10064.758596;0.073686;2.180599;6.759109;0.001162;0.010415;576
